page        index   level   data    free    records 
3           48      1       8274    7686    591     
4           48      0       7596    8614    85      
5           48      0       15110   1060    170     
6           48      0       15086   1084    168     
7           48      0       15077   1093    170     
8           48      0       15109   1061    168     
9           48      0       15058   1112    168     
10          48      0       15075   1095    169     
11          48      0       15055   1115    169     
12          48      0       15114   1056    170     
13          48      0       15129   1041    168     
14          48      0       15057   1113    168     
15          48      0       15122   1048    169     
16          48      0       15060   1110    169     
17          48      0       15073   1097    171     
18          48      0       15134   1036    170     
19          48      0       15095   1075    170     
20          48      0       15069   1101    169     
21          48      0       15081   1089    171     
22          48      0       15135   1035    171     
23          48      0       15108   1062    170     
24          48      0       15100   1072    167     
25          48      0       15122   1048    169     
26          48      0       15121   1049    168     
27          48      0       15106   1064    169     
28          48      0       15061   1109    170     
29          48      0       15144   1028    167     
30          48      0       15106   1064    169     
31          48      0       15123   1047    170     
32          48      0       15054   1116    169     
33          48      0       15138   1032    170     
34          48      0       15137   1033    170     
35          48      0       15074   1096    169     
36          0       0       0       16384   0       
37          0       0       0       16384   0       
38          0       0       0       16384   0       
39          0       0       0       16384   0       
40          0       0       0       16384   0       
41          0       0       0       16384   0       
42          0       0       0       16384   0       
43          0       0       0       16384   0       
44          0       0       0       16384   0       
45          0       0       0       16384   0       
46          0       0       0       16384   0       
47          0       0       0       16384   0       
48          0       0       0       16384   0       
49          0       0       0       16384   0       
50          0       0       0       16384   0       
51          0       0       0       16384   0       
52          0       0       0       16384   0       
53          0       0       0       16384   0       
54          0       0       0       16384   0       
55          0       0       0       16384   0       
56          0       0       0       16384   0       
57          0       0       0       16384   0       
58          0       0       0       16384   0       
59          0       0       0       16384   0       
60          0       0       0       16384   0       
61          0       0       0       16384   0       
62          0       0       0       16384   0       
63          0       0       0       16384   0       
64          48      0       15075   1095    168     
65          48      0       15062   1106    172     
66          48      0       15047   1123    168     
67          48      0       15116   1054    168     
68          48      0       15136   1032    172     
69          48      0       15066   1104    168     
70          48      0       15066   1104    171     
71          48      0       15123   1047    170     
72          48      0       15074   1096    169     
73          48      0       15077   1093    168     
74          48      0       15072   1098    170     
75          48      0       15130   1040    170     
76          48      0       15121   1049    169     
77          48      0       15116   1052    173     
78          48      0       15081   1089    170     
79          48      0       15061   1109    168     
80          48      0       15087   1083    169     
81          48      0       15117   1053    169     
82          48      0       15136   1034    168     
83          48      0       15079   1091    170     
84          48      0       15095   1075    171     
85          48      0       15138   1032    169     
86          48      0       15116   1054    171     
87          48      0       15108   1060    172     
88          48      0       15075   1095    169     
89          48      0       15106   1064    170     
90          48      0       15078   1092    169     
91          48      0       15081   1089    170     
92          48      0       15090   1080    169     
93          48      0       15103   1067    170     
94          48      0       15102   1068    168     
95          48      0       15123   1047    168     
96          48      0       15114   1056    169     
97          48      0       15089   1083    167     
98          48      0       15138   1032    171     
99          48      0       15102   1068    170     
100         48      0       15129   1041    171     
101         48      0       15128   1042    170     
102         48      0       15137   1033    169     
103         48      0       15071   1099    170     
104         48      0       15072   1098    168     
105         48      0       15071   1099    168     
106         48      0       15112   1058    171     
107         48      0       15129   1041    169     
108         48      0       15129   1041    170     
109         48      0       15091   1081    167     
110         48      0       15122   1048    170     
111         48      0       15133   1037    170     
112         48      0       15100   1070    169     
113         48      0       15137   1033    170     
114         48      0       15126   1044    169     
115         48      0       15099   1071    169     
116         48      0       15095   1075    169     
117         48      0       15093   1077    168     
118         48      0       15073   1097    168     
119         48      0       15050   1120    170     
120         48      0       15104   1066    171     
121         48      0       15082   1088    169     
122         48      0       15069   1101    169     
123         48      0       15127   1043    169     
124         48      0       15064   1108    167     
125         48      0       15074   1096    171     
126         48      0       15054   1116    170     
127         48      0       15103   1067    170     
128         48      0       15114   1056    170     
129         48      0       15051   1119    169     
130         48      0       15070   1100    169     
131         48      0       15091   1079    169     
132         48      0       15096   1074    171     
133         48      0       15123   1047    170     
134         48      0       15073   1097    169     
135         48      0       15076   1094    170     
136         48      0       15136   1034    169     
137         48      0       15085   1085    169     
138         48      0       15127   1043    171     
139         48      0       15113   1057    169     
140         48      0       15086   1084    170     
141         48      0       15090   1082    167     
142         48      0       15119   1051    170     
143         48      0       15129   1041    168     
144         48      0       15103   1065    172     
145         48      0       15103   1067    169     
146         48      0       15143   1027    170     
147         48      0       15093   1077    169     
148         48      0       15138   1030    172     
149         48      0       15099   1071    171     
150         48      0       15061   1109    170     
151         48      0       15126   1044    170     
152         48      0       15062   1110    167     
153         48      0       15134   1036    169     
154         48      0       15137   1033    169     
155         48      0       15081   1089    170     
156         48      0       15142   1028    169     
157         48      0       15052   1118    170     
158         48      0       15075   1097    167     
159         48      0       15048   1124    167     
160         48      0       15107   1063    170     
161         48      0       15067   1103    169     
162         48      0       15124   1046    171     
163         48      0       15112   1058    169     
164         48      0       15075   1095    169     
165         48      0       15084   1086    169     
166         48      0       15105   1065    170     
167         48      0       15133   1037    170     
168         48      0       15094   1076    169     
169         48      0       15062   1108    170     
170         48      0       15127   1041    172     
171         48      0       15063   1107    169     
172         48      0       15083   1087    171     
173         48      0       15075   1093    173     
174         48      0       15140   1030    170     
175         48      0       15078   1092    170     
176         48      0       15068   1102    168     
177         48      0       15072   1098    170     
178         48      0       15109   1061    168     
179         48      0       15073   1097    168     
180         48      0       15124   1046    171     
181         48      0       15094   1078    167     
182         48      0       15093   1077    170     
183         48      0       15140   1030    169     
184         48      0       15108   1062    169     
185         48      0       15134   1036    171     
186         48      0       15119   1051    169     
187         48      0       15125   1045    170     
188         48      0       15072   1098    171     
189         48      0       15094   1076    168     
190         48      0       15132   1038    169     
191         48      0       15079   1091    171     
192         48      0       15050   1120    170     
193         48      0       15092   1078    170     
194         48      0       15048   1122    169     
195         48      0       15100   1070    170     
196         48      0       15069   1101    169     
197         48      0       15100   1070    169     
198         48      0       15106   1064    169     
199         48      0       15073   1097    169     
200         48      0       15099   1071    171     
201         48      0       15098   1072    170     
202         48      0       15142   1026    172     
203         48      0       15090   1080    170     
204         48      0       15076   1094    169     
205         48      0       15080   1090    171     
206         48      0       15076   1094    170     
207         48      0       15082   1088    171     
208         48      0       15105   1065    170     
209         48      0       15134   1036    169     
210         48      0       15082   1088    168     
211         48      0       15112   1058    171     
212         48      0       15108   1062    170     
213         48      0       15104   1066    170     
214         48      0       15072   1098    170     
215         48      0       15070   1102    167     
216         48      0       15096   1072    172     
217         48      0       15143   1027    169     
218         48      0       15062   1108    168     
219         48      0       15056   1114    171     
220         48      0       15052   1118    171     
221         48      0       15082   1086    172     
222         48      0       15135   1035    170     
223         48      0       15127   1043    169     
224         48      0       15072   1098    170     
225         48      0       15126   1044    169     
226         48      0       15100   1070    170     
227         48      0       15051   1119    168     
228         48      0       15095   1075    170     
229         48      0       15058   1112    168     
230         48      0       15127   1043    169     
231         48      0       15108   1062    170     
232         48      0       15120   1050    169     
233         48      0       15107   1063    171     
234         48      0       15123   1045    173     
235         48      0       15140   1030    171     
236         48      0       15126   1044    171     
237         48      0       15136   1032    172     
238         48      0       15096   1074    170     
239         48      0       15110   1060    168     
240         48      0       15074   1096    169     
241         48      0       15129   1039    172     
242         48      0       15105   1065    171     
243         48      0       15114   1056    170     
244         48      0       15078   1092    169     
245         48      0       15138   1032    171     
246         48      0       15108   1062    169     
247         48      0       15059   1111    168     
248         48      0       15062   1108    169     
249         48      0       15076   1092    172     
250         48      0       15078   1092    168     
251         48      0       15074   1096    169     
252         48      0       15074   1096    170     
253         48      0       15130   1040    169     
254         48      0       15102   1068    171     
255         48      0       15136   1034    169     
256         48      0       15096   1074    170     
257         48      0       15106   1066    167     
258         48      0       15141   1029    170     
259         48      0       15093   1075    172     
260         48      0       15103   1067    168     
261         48      0       15097   1073    169     
262         48      0       15114   1056    170     
263         48      0       15143   1027    170     
264         48      0       15103   1067    171     
265         48      0       15062   1106    172     
