page        index   level   data    free    records 
3           48      1       8260    7700    590     
4           48      0       7500    8710    85      
5           48      0       15057   1113    171     
6           48      0       15089   1081    169     
7           48      0       15094   1076    170     
8           48      0       15067   1103    170     
9           48      0       15101   1069    170     
10          48      0       15091   1079    170     
11          48      0       15061   1109    168     
12          48      0       15079   1091    170     
13          48      0       15141   1029    170     
14          48      0       15138   1032    171     
15          48      0       15082   1088    170     
16          48      0       15126   1044    170     
17          48      0       15129   1039    172     
18          48      0       15104   1066    170     
19          48      0       15137   1033    169     
20          48      0       15075   1095    168     
21          48      0       15105   1065    170     
22          48      0       15142   1028    170     
23          48      0       15065   1105    169     
24          48      0       15071   1099    169     
25          48      0       15090   1080    169     
26          48      0       15064   1106    168     
27          48      0       15113   1057    169     
28          48      0       15101   1069    171     
29          48      0       15077   1093    168     
30          48      0       15084   1086    171     
31          48      0       15071   1099    169     
32          48      0       15045   1125    169     
33          48      0       15141   1029    170     
34          48      0       15063   1107    170     
35          48      0       15099   1071    170     
36          0       0       0       16384   0       
37          0       0       0       16384   0       
38          0       0       0       16384   0       
39          0       0       0       16384   0       
40          0       0       0       16384   0       
41          0       0       0       16384   0       
42          0       0       0       16384   0       
43          0       0       0       16384   0       
44          0       0       0       16384   0       
45          0       0       0       16384   0       
46          0       0       0       16384   0       
47          0       0       0       16384   0       
48          0       0       0       16384   0       
49          0       0       0       16384   0       
50          0       0       0       16384   0       
51          0       0       0       16384   0       
52          0       0       0       16384   0       
53          0       0       0       16384   0       
54          0       0       0       16384   0       
55          0       0       0       16384   0       
56          0       0       0       16384   0       
57          0       0       0       16384   0       
58          0       0       0       16384   0       
59          0       0       0       16384   0       
60          0       0       0       16384   0       
61          0       0       0       16384   0       
62          0       0       0       16384   0       
63          0       0       0       16384   0       
64          48      0       15115   1055    168     
65          48      0       15121   1049    170     
66          48      0       15105   1065    168     
67          48      0       15097   1073    168     
68          48      0       15060   1110    170     
69          48      0       15077   1093    169     
70          48      0       15106   1064    170     
71          48      0       15117   1051    172     
72          48      0       15082   1088    168     
73          48      0       15121   1049    170     
74          48      0       15115   1055    170     
